title,price,location,Mileage,Drivetrain,Exterior color,Interior color,Fuel Consumption,Fuel type,Battery charge time,Battery range,Make:,Model:,Year:,Trim:,Body type:,Exterior colour:,Interior colour:,Mileage:,Condition:,VIN:,Stock number:,Combined gas mileage:,City gas mileage:,Highway gas mileage:,Fuel type:,Battery capacity:,Battery charge time (240V):,Battery range:,Transmission:,Drivetrain:,NHTSA overall safety rating:,NHTSA frontal crash rating:,NHTSA side crash rating:,NHTSA rollover rating:,Doors:,Front legroom:,Back legroom:,Cargo volume:,Transmission,Dealer:,Backup camera,Battery charge time (120V):,Cabin size:,Bed length:,Safety rating,Alloy wheels,Bluetooth
2021 Tesla Model 3 Standard Range Plus RWD,"$31,480","Concord, ON","33,600",Rear-Wheel Drive,Gray,,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2021.0,Standard Range Plus RWD,Sedan,Gray,,"33,600 km",Used,5YJ3E1EA4MF029143,M10-029143,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,430 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2023 Tesla Model 3 RWD,"$35,800","Concord, ON","25,800",Rear-Wheel Drive,Black,,1.9 L/100km,Electric,10.4 hr,438 km,Tesla,Model 3,2023.0,RWD,Sedan,Black,,"25,800 km",Used,LRW3E1FA8PC872663,M11-872663,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10.4 hr,438 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,Automatic,,,,,,,,
2023 Tesla Model 3 Long Range AWD,"$47,500","Port Moody, BC","20,169",All-Wheel Drive,White,,1.9 L/100km,Electric,11.5 hr,576 km,Tesla,Model 3,2023.0,Long Range AWD,Sedan,White,,"20,169 km",Used,LRW3E1EBXPC851517,19113QEV,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,82 kWh,11.5 hr,576 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,Automatic,,,,,,,,
2021 Tesla Model Y Long Range AWD,"$39,998","Surrey, BC","107,447",All-Wheel Drive,Gray,Black,1.945 L/100km,Electric,10 hr,509 km,Tesla,Model Y,2021.0,Long Range AWD,SUV / Crossover,Gray,Black,"107,447 km",Used,5YJYGDEE7MF157994,GL0456,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,509 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,1925 L,,,,,,,,,
2021 Tesla Model 3 Standard Range Plus RWD,"$25,880","Concord, ON","104,866",Rear-Wheel Drive,White,,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2021.0,Standard Range Plus RWD,Sedan,White,,"104,866 km",Used,5YJ3E1EA7MF848647,M10-848647,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,430 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2023 Tesla Model Y RWD,"$39,695","Blainville, QC","38,002",Rear-Wheel Drive,Blue,Black,,Electric,9.4 hr,418 km,Tesla,Model Y,2023.0,RWD,SUV / Crossover,Blue,Black,"38,002 km",Used,LRWYGDFD7PC967758,QE40372,,,,Electric,67.6 kWh,9.4 hr,418 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1064 mm,1029 mm,971 L,Automatic,,,,,,,,
2023 Tesla Model 3 Long Range AWD,"$46,707","Surrey, BC","27,175",All-Wheel Drive,Silver,,1.9 L/100km,Electric,11.5 hr,576 km,Tesla,Model 3,2023.0,Long Range AWD,Sedan,Silver,,"27,175 km",Used,5YJ3E1EB7PF464235,W3LR930A,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,82 kWh,11.5 hr,576 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,Automatic,,,,,,,,
2021 Tesla Model Y Long Range AWD,"$34,880","Concord, ON","125,500",All-Wheel Drive,Black,,1.945 L/100km,Electric,10 hr,509 km,Tesla,Model Y,2021.0,Long Range AWD,SUV / Crossover,Black,,"125,500 km",Used,5YJYGDEE0MF064587,NOXL11-064587,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,509 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,1925 L,Automatic,,,,,,,,
2022 Tesla Model Y Long Range AWD,"$51,988","Mission, BC","35,743",All-Wheel Drive,,,1.945 L/100km,Electric,10 hr,531 km,Tesla,Model Y,2022.0,Long Range AWD,SUV / Crossover,,,"35,743 km",Used,7SAYGDEE6NF371105,ZT1105,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,531 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,971 L,Automatic,,,,,,,,
2017 Tesla Model S 100D AWD,"$48,988","Calgary, AB","67,622",All-Wheel Drive,,,2.3 L/100km,Electric,12 hr,539 km,Tesla,Model S,2017.0,100D AWD,Sedan,,,"67,622 km",Used,5YJSA1E20HF200637,200637,2.3 L/100km,2.3 L/100km,2.3 L/100km,Electric,100 kWh,12 hr,539 km,,All-Wheel Drive,,,,,4 doors,1085 mm,899 mm,804 L,,,,,,,,,
2021 Tesla Model 3 Standard Range Plus RWD,"$31,995","Richmond, BC","72,441",Rear-Wheel Drive,Gray,Black,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2021.0,Standard Range Plus RWD,Sedan,Gray,Black,"72,441 km",Used,5YJ3E1EA6MF871417,Y871417,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,430 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2014 Tesla Model S P85 RWD,"$20,490","Fenwick, ON","185,000",Rear-Wheel Drive,,,2.655 L/100km,Electric,12 hr,407 km,Tesla,Model S,2014.0,P85 RWD,Sedan,,,"185,000 km",Used,5YJSA1H11EFP28654,0468,2.7 L/100km,2.7 L/100km,2.6 L/100km,Electric,85 kWh,12 hr,407 km,Continuously Variable Transmission,Rear-Wheel Drive,,,,,4 doors,1085 mm,899 mm,894 L,Continuously Variable Transmission,,,,,,,,
2021 Tesla Model Y Long Range AWD,"$35,995","Toronto, ON","118,150",All-Wheel Drive,Blue,Black,1.945 L/100km,Electric,10 hr,509 km,Tesla,Model Y,2021.0,Long Range AWD,SUV / Crossover,Blue,Black,"118,150 km",Used,5YJYGDEE3MF076359,R41113,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,509 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,1925 L,,,,,,,,,
2020 Tesla Model 3 Standard Range AWD,"$23,990","Concord, ON","91,600",All-Wheel Drive,White,,,Electric,10 hr,354 km,Tesla,Model 3,2020.0,Standard Range AWD,Sedan,White,,"91,600 km",Used,5YJ3E1EA1LF794258,M11-794258,,,,Electric,50 kWh,10 hr,354 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2022 Tesla Model S AWD,"$72,990","Mississauga, ON","53,384",All-Wheel Drive,Black,Black,,Electric,15 hr,652 km,Tesla,Model S,2022.0,AWD,Sedan,Black,Black,"53,384 km",Used,5YJSA1E51NF461037,W61037,,,,Electric,100 kWh,15 hr,652 km,1-Speed Automatic,All-Wheel Drive,,,,,4 doors,1077 mm,902 mm,798 L,1-Speed Automatic,Carnex,,,,,,,
2022 Tesla Model Y Performance AWD,"$49,498","Mississauga, ON","52,500",All-Wheel Drive,White,,2.09 L/100km,Electric,10 hr,488 km,Tesla,Model Y,2022.0,Performance AWD,SUV / Crossover,White,,"52,500 km",Used,7SAYGDEF2NF443281,D5FEFB,2.1 L/100km,2 L/100km,2.2 L/100km,Electric,75 kWh,10 hr,488 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,971 L,Automatic,,,,,,,,
2023 Tesla Model Y Long Range AWD,"$45,499","Toronto, ON","63,076",All-Wheel Drive,,,1.945 L/100km,Electric,11.5 hr,531 km,Tesla,Model Y,2023.0,Long Range AWD,SUV / Crossover,,,"63,076 km",Used,LRWYGDEE5PC028554,17470,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,81 kWh,11.5 hr,531 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,971 L,Automatic,,,,,,,,
2020 Tesla Model 3 Standard Range AWD,"$21,880","Concord, ON","136,962",All-Wheel Drive,White,,,Electric,10 hr,354 km,Tesla,Model 3,2020.0,Standard Range AWD,Sedan,White,,"136,962 km",Used,5YJ3E1EA3LF715656,M09-715656,,,,Electric,50 kWh,10 hr,354 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2020 Tesla Model 3 Standard Range Plus RWD,"$27,995","Lévis, QC • Home delivery available","74,765",Rear-Wheel Drive,White,Black,1.9 L/100km,Electric,10 hr,402 km,Tesla,Model 3,2020.0,Standard Range Plus RWD,Sedan,White,Black,"74,765 km",Used,5YJ3E1EA2LF591413,A111413,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,402 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2022 Tesla Model 3 RWD,"$33,800","St.-Hubert, QC • Home delivery available","24,257",Rear-Wheel Drive,White,Black,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2022.0,RWD,Sedan,White,Black,"24,257 km",Used,5YJ3E1EA4NF319500,24CT117,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,60 kWh,10 hr,430 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,,,,,,,,,
2016 Tesla Model X 90D AWD,"$44,995","Ottawa, ON","64,950",All-Wheel Drive,White,,2.555 L/100km,Electric,12 hr,414 km,Tesla,Model X,2016.0,90D AWD,SUV / Crossover,White,,"64,950 km",Used,5YJXCDE26GF025987,T9255,2.6 L/100km,2.6 L/100km,2.5 L/100km,Electric,90 kWh,12 hr,414 km,Automatic,All-Wheel Drive,,,,,4 doors,1046 mm,975 mm,736 L,Automatic,,,,,,,,
2021 Tesla Model 3 Standard Range Plus RWD,"$31,795","Nanaimo, BC","79,181",Rear-Wheel Drive,White,,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2021.0,Standard Range Plus RWD,Sedan,White,,"79,181 km",Used,5YJ3E1EA0MF018348,U018348,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,430 km,,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2020 Tesla Model 3 Standard Range Plus RWD,"$23,790","Oakville, ON","111,056",Rear-Wheel Drive,Gray,Black,1.9 L/100km,Electric,10 hr,402 km,Tesla,Model 3,2020.0,Standard Range Plus RWD,Sedan,Gray,Black,"111,056 km",Used,5YJ3E1EA2LF803436,803436,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,402 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2020 Tesla Model X Long Range AWD,"$69,995","Bradford, ON","71,000",All-Wheel Drive,White,Black,2.445 L/100km,Electric,12 hr,528 km,Tesla,Model X,2020.0,Long Range AWD,SUV / Crossover,White,Black,"71,000 km",Used,5YJXCDE29LF231119,LF231119 - #00,2.4 L/100km,2.4 L/100km,2.5 L/100km,Electric,100 kWh,12 hr,528 km,Automatic,All-Wheel Drive,,,,,4 doors,1046 mm,975 mm,543 L,,,,,,,,,
2022 Tesla Model 3 RWD,"$28,489","Drummondville, QC","109,000",Rear-Wheel Drive,Pearl White Multi-Coat,Black,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2022.0,RWD,Sedan,Pearl White Multi-Coat,Black,"109,000 km",Used,5YJ3E1EA2NF162646,D218,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,60 kWh,10 hr,430 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,,,,,,,,,
2023 Tesla Model 3 RWD,"$34,885","Concord, ON","37,800",Rear-Wheel Drive,Black,,1.9 L/100km,Electric,10.4 hr,438 km,Tesla,Model 3,2023.0,RWD,Sedan,Black,,"37,800 km",Used,5YJ3E1EA6PF490252,M11-490252,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10.4 hr,438 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,Automatic,,,,,,,,
2021 Tesla Model S Long Range Plus AWD,"$59,999","Laval, QC • Home delivery available","52,402",All-Wheel Drive,Gray,White,1.945 L/100km,Electric,12 hr,629 km,Tesla,Model S,2021.0,Long Range Plus AWD,Sedan,Gray,White,"52,402 km",Used,5YJSA1E24MF425038,GL-113641,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,100 kWh,12 hr,629 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,899 mm,744 L,,,,,,,,,
2021 Tesla Model Y Long Range AWD,"$36,980","Concord, ON","113,800",All-Wheel Drive,Gray,,1.945 L/100km,Electric,10 hr,509 km,Tesla,Model Y,2021.0,Long Range AWD,SUV / Crossover,Gray,,"113,800 km",Used,Ma10-287481,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,509 km,Automatic,All-Wheel Drive,4 doors,,,,,1062 mm,1029 mm,1925 L,,Automatic,,,,,,,,
2022 Tesla Model Y Long Range AWD,"$45,898","Vaughan, ON • Home delivery available","44,573",All-Wheel Drive,Blue,,,Electric,10 hr,531 km,Tesla,Model Y,2022.0,Long Range AWD,SUV / Crossover,Blue,,"44,573 km",Used,7SAYGDEE3NF433544,NM0101503,,,,Electric,75 kWh,10 hr,531 km,1-Speed Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,971 L,1-Speed Automatic,,,,,,,,
2020 Tesla Model 3 Standard Range AWD,"$24,890","Concord, ON","88,690",All-Wheel Drive,White,,,Electric,10 hr,354 km,Tesla,Model 3,2020.0,Standard Range AWD,Sedan,White,,"88,690 km",Used,5YJ3E1EA4LF734393,M10-734393,,,,Electric,50 kWh,10 hr,354 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2023 Tesla Model 3 Long Range AWD,"$47,511","Richmond, BC","19,299",All-Wheel Drive,,,,Electric,11.5 hr,576 km,Tesla,Model 3,2023.0,Long Range AWD,Sedan,,,"19,299 km",Used,LRW3E1EB1PC850319,A850319P,,,,Electric,82 kWh,11.5 hr,576 km,1-Speed Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,1-Speed Automatic,,,,,,,,
2021 Tesla Model 3 Performance AWD,"$38,800","Concord, ON","73,000",All-Wheel Drive,Gray,,2.09 L/100km,Electric,10 hr,507 km,Tesla,Model 3,2021.0,Performance AWD,Sedan,Gray,,"73,000 km",Used,M08-884618,2.1 L/100km,2 L/100km,2.2 L/100km,Electric,82 kWh,10 hr,507 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,Automatic,,,,,,,,
2021 Tesla Model Y Long Range AWD,"$48,499","Vancouver, BC","29,213",All-Wheel Drive,Gray,Black,1.945 L/100km,Electric,10 hr,509 km,Tesla,Model Y,2021.0,Long Range AWD,SUV / Crossover,Gray,Black,"29,213 km",Used,5YJYGDEE1MF159014,A22A0026,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,509 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,1925 L,,,,,,,,,
2020 Tesla Model 3 Standard Range AWD,"$24,890","Concord, ON","77,860",All-Wheel Drive,White,,,Electric,10 hr,354 km,Tesla,Model 3,2020.0,Standard Range AWD,Sedan,White,,"77,860 km",Used,5YJ3E1EA8LF803828,M11-803828,,,,Electric,50 kWh,10 hr,354 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2020 Tesla Model 3 Standard Range Plus RWD,"$30,800","Richmond, BC","64,000",Rear-Wheel Drive,White,Black,1.9 L/100km,Electric,10 hr,402 km,Tesla,Model 3,2020.0,Standard Range Plus RWD,Sedan,White,Black,"64,000 km",Used,5YJ3E1EA6LF808896,LR25-002,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,402 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2023 Tesla Model Y Performance AWD,"$54,988","Toronto, ON","21,270",All-Wheel Drive,White,,2.09 L/100km,Electric,11.8 hr,488 km,Tesla,Model Y,2023.0,Performance AWD,SUV / Crossover,White,,"21,270 km",Used,7SAYGDEF1PF664907,240133A,2.1 L/100km,2 L/100km,2.2 L/100km,Electric,81 kWh,11.8 hr,488 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,481 L,Automatic,,,,,,,,
2018 Tesla Model X 100D AWD,"$61,995","Abbotsford, BC","58,000",All-Wheel Drive,Black,,2.655 L/100km,Electric,12 hr,475 km,Tesla,Model X,2018.0,100D AWD,SUV / Crossover,Black,,"58,000 km",Used,5YJXCDE27JF124146,A4080,2.7 L/100km,2.7 L/100km,2.6 L/100km,Electric,100 kWh,12 hr,475 km,Automatic,All-Wheel Drive,,,,,4 doors,1046 mm,975 mm,736 L,Automatic,,,,,,,,
2022 Tesla Model 3 Long Range AWD,"$37,888","Concord, ON","55,569",All-Wheel Drive,White,Black,1.9 L/100km,Electric,10 hr,538 km,Tesla,Model 3,2022.0,Long Range AWD,Sedan,White,Black,"55,569 km",Used,5YJ3E1EB4NF178601,5187-P,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,82 kWh,10 hr,538 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,,,,,,,,,
2023 Tesla Model Y Performance AWD,"$51,999","L'Île-Perrot, QC • Home delivery available","43,076",All-Wheel Drive,White,Black,2.09 L/100km,Electric,11.8 hr,488 km,Tesla,Model Y,2023.0,Performance AWD,SUV / Crossover,White,Black,"43,076 km",Used,7SAYGDEF5PF738250,GP-113461,2.1 L/100km,2 L/100km,2.2 L/100km,Electric,81 kWh,11.8 hr,488 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,481 L,,,,,,,,,
2020 Tesla Model 3 Long Range AWD,"$22,488","Toronto, ON","175,200",All-Wheel Drive,Blue,Black,1.945 L/100km,Electric,10 hr,518 km,Tesla,Model 3,2020.0,Long Range AWD,Sedan,Blue,Black,"175,200 km",Used,5YJ3E1EB5LF626356,F2841,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,518 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2020 Tesla Model 3 Standard Range Plus RWD,"$29,897","Saint-Eustache, QC","33,265",Rear-Wheel Drive,Gray,Black,1.9 L/100km,Electric,10 hr,402 km,Tesla,Model 3,2020.0,Standard Range Plus RWD,Sedan,Gray,Black,"33,265 km",Used,5YJ3E1EA1LF642819,2024-493,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,402 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2023 Tesla Model 3 Long Range AWD,"$42,995","Mississauga, ON • Home delivery available","32,696",All-Wheel Drive,White,,1.9 L/100km,Electric,11.5 hr,576 km,Tesla,Model 3,2023.0,Long Range AWD,Sedan,White,,"32,696 km",Used,5YJ3E1EB8PF415139,P8178,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,82 kWh,11.5 hr,576 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,Automatic,,,,,,,,
2016 Tesla Model X 90D AWD,"$47,888","North York, ON","79,000",All-Wheel Drive,Blue,,2.555 L/100km,Electric,12 hr,414 km,Tesla,Model X,2016.0,90D AWD,SUV / Crossover,Blue,,"79,000 km",Used,5YJXCBE20GF007537,007537,2.6 L/100km,2.6 L/100km,2.5 L/100km,Electric,90 kWh,12 hr,414 km,Automatic,All-Wheel Drive,,,,,4 doors,1046 mm,975 mm,736 L,Automatic,,,,,,,,
2023 Tesla Model Y Long Range AWD,"$55,537","Surrey, BC","5,803",All-Wheel Drive,Blue,,1.945 L/100km,Electric,11.5 hr,531 km,Tesla,Model Y,2023.0,Long Range AWD,SUV / Crossover,Blue,,"5,803 km",Used,LRWYGDEE1PC229285,TH56297A,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,81 kWh,11.5 hr,531 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,971 L,Automatic,,,,,,,,
2021 Tesla Model Y Long Range AWD,"$45,400","Toronto, ON","33,756",All-Wheel Drive,White,Black,1.945 L/100km,Electric,10 hr,509 km,Tesla,Model Y,2021.0,Long Range AWD,SUV / Crossover,White,Black,"33,756 km",Used,5YJYGDEE1MF091605,STK091605,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,509 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,1925 L,,,,,,,,,
2020 Tesla Model 3 Long Range AWD,"$30,880","Concord, ON","81,366",All-Wheel Drive,Black,,1.945 L/100km,Electric,10 hr,518 km,Tesla,Model 3,2020.0,Long Range AWD,Sedan,Black,,"81,366 km",Used,5YJ3E1EB6LF670429,M10-670429,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,518 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2020 Tesla Model 3 Standard Range Plus RWD,"$28,998","Abbotsford, BC","94,140",Rear-Wheel Drive,Solid Black,Black,1.9 L/100km,Electric,10 hr,402 km,Tesla,Model 3,2020.0,Standard Range Plus RWD,Sedan,Solid Black,Black,"94,140 km",Used,5YJ3E1EAXLF715119,FVE5119,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,402 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2023 Tesla Model X AWD,"$97,500","Sidney, BC","6,000",All-Wheel Drive,Red,Black,2.29 L/100km,Electric,14 hr,560 km,Tesla,Model X,2023.0,AWD,SUV / Crossover,Red,Black,"6,000 km",Used,7SAXCAE59PF412173,M9477,2.3 L/100km,2.2 L/100km,2.4 L/100km,Electric,100 kWh,,560 km,Automatic,All-Wheel Drive,,,,,4 doors,1044 mm,983 mm,1231 L,,,,14 hr,,,,,
2021 Tesla Model 3 Standard Range Plus RWD,"$21,880","Concord, ON","157,866",Rear-Wheel Drive,White,,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2021.0,Standard Range Plus RWD,Sedan,White,,"157,866 km",Used,5YJ3E1EA0MF986711,D10-986711,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,430 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2019 Tesla Model 3 Standard Plus RWD,"$25,988","Oakville, ON","75,000",Rear-Wheel Drive,Black,Black,1.9 L/100km,Electric,10 hr,386 km,Tesla,Model 3,2019.0,Standard Plus RWD,Sedan,Black,Black,"75,000 km",Used,RKF3215689,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,386 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,,
2023 Tesla Model 3 RWD,"$31,995","North York, ON","67,000",Rear-Wheel Drive,White,,1.9 L/100km,Electric,10.4 hr,438 km,Tesla,Model 3,2023.0,RWD,Sedan,White,,"67,000 km",Used,5YJ3E1EA0PF501598,211,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10.4 hr,438 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,Automatic,,,,,,,,
2021 Tesla Model Y Standard Range RWD,"$41,912","Abbotsford, BC","55,536",Rear-Wheel Drive,Silver,Black,1.945 L/100km,Electric,10 hr,393 km,Tesla,Model Y,2021.0,Standard Range RWD,SUV / Crossover,Silver,Black,"55,536 km",Used,5YJYGDED3MF120836,BT120836,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,393 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,1925 L,,,,,,,,,
2021 Tesla Model 3 Standard Range Plus RWD,"$27,888","North York, ON","79,000",Rear-Wheel Drive,Black,,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2021.0,Standard Range Plus RWD,Sedan,Black,,"79,000 km",Used,5YJ3E1EA9MF048142,048142,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,430 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2016 Tesla Model X 75D AWD,"$39,800","Richmond, BC","122,000",All-Wheel Drive,Gray,,2.555 L/100km,Electric,12 hr,383 km,Tesla,Model X,2016.0,75D AWD,SUV / Crossover,Gray,,"122,000 km",Used,5YJXCDE20GF027668,027668,2.6 L/100km,2.6 L/100km,2.5 L/100km,Electric,75 kWh,12 hr,383 km,Automatic,All-Wheel Drive,,,,,4 doors,1046 mm,975 mm,736 L,Automatic,,,,,,,,
2022 Tesla Model Y Long Range AWD,"$42,990","Calgary, AB • Home delivery available","67,786",All-Wheel Drive,Solid Black,Black,1.945 L/100km,Electric,10 hr,531 km,Tesla,Model Y,2022.0,Long Range AWD,SUV / Crossover,Solid Black,Black,"67,786 km",Used,7SAYGDEE8NF469665,XB69665,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,531 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,971 L,,,,,,,,,
2022 Tesla Model 3 Long Range AWD,"$41,499","Laval, QC • Home delivery available","20,236",All-Wheel Drive,Red,Black,1.9 L/100km,Electric,10 hr,538 km,Tesla,Model 3,2022.0,Long Range AWD,Sedan,Red,Black,"20,236 km",Used,5YJ3E1EB9NF238744,GL-113626,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,82 kWh,10 hr,538 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,,,,,,,,,
2021 Tesla Model 3 Performance AWD,"$41,880","Concord, ON","45,600",All-Wheel Drive,Black,,2.09 L/100km,Electric,10 hr,507 km,Tesla,Model 3,2021.0,Performance AWD,Sedan,Black,,"45,600 km",Used,5YJ3E1ECXMF088442,M10-088442,2.1 L/100km,2 L/100km,2.2 L/100km,Electric,82 kWh,10 hr,507 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2019 Tesla Model 3 Long Range AWD,"$31,800","Toronto, ON","58,000",All-Wheel Drive,Gray,,2.045 L/100km,Electric,10 hr,499 km,Tesla,Model 3,2019.0,Long Range AWD,Sedan,Gray,,"58,000 km",Used,5YJ3E1EB5KF414880,414880,2 L/100km,2 L/100km,2.1 L/100km,Electric,75 kWh,10 hr,499 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,Lion Motor Sales,,,,,,,
